,algorithm,acc,nmi,ari
0,causal_skipsTrue,0.571,0.02316692084729067,0.022021282621620668
1,causal_skipsFalse,0.57825,0.02123385473694483,0.025222122065898914
2,acausal_skipsTrue,0.553,0.014183230737020667,0.011487903624380036
3,acausal_skipsFalse,0.56025,0.017837024841657133,0.015595192516416017
