,run,algorithm,skips,acc,nmi,ari,L,Lc,Lr,silhouette
0,20,causal,True,0.62583,0.26365,0.22056,0.0021800000686198473,0.002309999894350767,0.0010300000431016088,0.9668267965316772
1,21,causal,False,0.50917,0.16364,0.09033,0.007780000101774931,0.008170000277459621,0.00419999985024333,0.975932776927948
2,22,acausal,True,0.54533,0.13838,0.11478,0.009700000286102295,0.010479999706149101,0.0027099999133497477,0.9512783288955688
3,23,acausal,False,0.52,0.17322,0.07754,0.0016299999551847577,0.0014600000577047467,0.003120000008493662,0.9871347546577454
4,24,causal,True,0.644,0.27524,0.23907,0.002050000010058284,0.0020600000862032175,0.001970000099390745,0.9715486764907837
5,25,causal,False,0.56467,0.2174,0.16121,0.009890000335872173,0.010529999621212482,0.00418000016361475,0.9791151285171509
6,26,acausal,True,0.60967,0.24753,0.22468,0.008030000142753124,0.008419999852776527,0.004470000043511391,0.9633871912956238
7,27,acausal,False,0.60017,0.25435,0.19759,0.007699999958276749,0.008030000142753124,0.004739999771118164,0.9615864157676697
8,28,causal,True,0.55367,0.22181,0.14936,0.007699999958276749,0.00810999982059002,0.004000000189989805,0.979457437992096
9,29,causal,True,0.66333,0.30649,0.28656,0.017149999737739563,0.018530000001192093,0.004720000084489584,0.9659688472747803
10,30,causal,True,0.47533,0.06475,0.06325,0.0032500000670552254,0.002950000111013651,0.006020000204443932,0.9866335988044739
11,31,causal,True,0.55667,0.23256,0.1907,0.003969999961555004,0.003949999809265137,0.004189999774098396,0.9822479486465454
12,32,causal,True,0.54817,0.22341,0.18256,0.002940000034868717,0.0031399999279528856,0.00107999995816499,0.9793891310691833
13,33,causal,True,0.5295,0.18614,0.12163,0.007660000119358301,0.008070000447332859,0.0039900001138448715,0.971318781375885
14,34,causal,True,0.45817,0.05109,0.05524,0.0029700000304728746,0.002739999908953905,0.004980000201612711,0.9837789535522461
15,35,causal,True,0.42833,0.06373,0.03109,0.002469999948516488,0.0022700000554323196,0.004189999774098396,0.9728482961654663
16,36,causal,True,0.51667,0.13879,0.08411,0.008249999955296516,0.00863999966531992,0.004699999932199717,0.9652420282363892
17,37,causal,False,0.54233,0.1991,0.20256,0.00279999990016222,0.0029200001154094934,0.001769999973475933,0.9902463555335999
18,38,causal,False,0.44417,0.06274,0.05648,0.004569999873638153,0.004809999838471413,0.002400000113993883,0.9820311665534973
19,39,causal,False,0.46667,0.1319,0.12199,0.004310000222176313,0.004490000195801258,0.0026700000744313,0.9830307364463806
20,40,causal,False,0.6035,0.20833,0.1738,0.0035000001080334187,0.003490000031888485,0.003590000094845891,0.9849475622177124
21,41,causal,False,0.43383,0.0762,0.04633,0.0018100000452250242,0.0018700000364333391,0.0013200000394135714,0.9803593158721924
22,42,causal,False,0.66117,0.32482,0.24282,0.007619999814778566,0.008009999990463257,0.004029999952763319,0.9810560941696167
23,43,causal,False,0.489,0.15827,0.09286,0.0021100000012665987,0.001769999973475933,0.005119999870657921,0.9787598252296448
24,44,causal,False,0.43933,0.04624,0.03936,0.006320000160485506,0.0065299998968839645,0.004399999976158142,0.9855327010154724
25,45,causal,False,0.58417,0.23701,0.13616,0.0066999997943639755,0.006920000072568655,0.004660000093281269,0.9808861613273621
26,46,acausal,True,0.5755,0.22198,0.19542,0.0016799999866634607,0.00171999994199723,0.0013099999632686377,0.9810232520103455
27,47,acausal,True,0.58417,0.24164,0.19915,0.00698000006377697,0.007550000213086605,0.0019000000320374966,0.9718106389045715
28,48,acausal,True,0.44233,0.14631,0.10557,0.007689999882131815,0.008070000447332859,0.004240000154823065,0.966877281665802
29,49,acausal,True,0.41033,0.08261,0.05066,0.004610000178217888,0.004660000093281269,0.004100000020116568,0.9800522327423096
30,50,acausal,True,0.57917,0.37445,0.31301,0.005690000019967556,0.005669999867677689,0.005880000069737434,0.9830108880996704
31,51,acausal,True,0.47283,0.19169,0.14459,0.015469999983906746,0.016930000856518745,0.002369999885559082,0.9479306936264038
